Entry	Reviewed	Entry Name	Gene Names	EC number	Gene Ontology (GO)	Organism (ID)
P09190	reviewed	PSBE_SYNY3	psbE ssr3451		photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; plasma membrane-derived thylakoid photosystem II [GO:0030096]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; photosynthetic electron transport chain [GO:0009767]	1111708
P09191	reviewed	PSBF_SYNY3	psbF smr0006		photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; plasma membrane-derived thylakoid photosystem II [GO:0030096]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; identical protein binding [GO:0042802]; iron ion binding [GO:0005506]; photosynthetic electron transport chain [GO:0009767]	1111708
P09192	reviewed	PSBD_SYNY3	psbD sll0849	1.10.3.9	photosystem II [GO:0009523]; plasma membrane-derived thylakoid membrane [GO:0031676]; plasma membrane-derived thylakoid photosystem II [GO:0030096]; chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; iron ion binding [GO:0005506]; oxygen evolving activity [GO:0010242]; photosynthetic electron transport in photosystem II [GO:0009772]	1111708
P09193	reviewed	PSBC_SYNY3	psbC sll0851		plasma membrane-derived thylakoid membrane [GO:0031676]; plasma membrane-derived thylakoid photosystem II [GO:0030096]; chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; metal ion binding [GO:0046872]; photosynthetic electron transport in photosystem II [GO:0009772]	1111708
P14835	reviewed	PSBH_SYNY3	psbH ssl2598		plasma membrane-derived thylakoid membrane [GO:0031676]; plasma membrane-derived thylakoid photosystem II [GO:0030096]; phosphate ion binding [GO:0042301]; photosynthesis [GO:0015979]; protein stabilization [GO:0050821]	1111708
P16033	reviewed	PSBA2_SYNY3	psbA2 psbA-2 slr1311; psbA3 psbA-3 sll1867	1.10.3.9	plasma membrane-derived thylakoid membrane [GO:0031676]; plasma membrane-derived thylakoid photosystem II [GO:0030096]; chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]; oxygen evolving activity [GO:0010242]; photosynthetic electron transport in photosystem II [GO:0009772]; response to herbicide [GO:0009635]	1111708
P24602	reviewed	FTNA_SYNY3	bfrA sll1341	1.16.3.1	cytosol [GO:0005829]; ferric iron binding [GO:0008199]; ferroxidase activity [GO:0004322]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; intracellular sequestering of iron ion [GO:0006880]; iron ion transport [GO:0006826]	1111708
P27320	reviewed	FER_SYNY3	petF fed ssl0020		2 iron, 2 sulfur cluster binding [GO:0051537]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; electron transport chain [GO:0022900]	1111708
P29107	reviewed	ILVC_SYNY3	ilvC sll1363	1.1.1.86	cytosol [GO:0005829]; ketol-acid reductoisomerase activity [GO:0004455]; magnesium ion binding [GO:0000287]; NADP binding [GO:0050661]; isoleucine biosynthetic process [GO:0009097]; valine biosynthetic process [GO:0009099]	1111708
P29255	reviewed	PSAB_SYNY3	psaB slr1835	1.97.1.12	photosystem I [GO:0009522]; plasma membrane [GO:0005886]; plasma membrane-derived thylakoid membrane [GO:0031676]; 4 iron, 4 sulfur cluster binding [GO:0051539]; chlorophyll binding [GO:0016168]; electron transfer activity [GO:0009055]; magnesium ion binding [GO:0000287]; oxidoreductase activity [GO:0016491]; photosynthesis [GO:0015979]	1111708
