Entry	Reviewed	Entry Name	Gene Names	EC number	Gene Ontology (GO)	Organism (ID)
C0SP85	reviewed	YUKE_BACSU	yukE BSU31910		extracellular region [GO:0005576]	224308
C0SPC1	reviewed	CCRZ_BACSU	ccrZ ytmP BSU29920	2.7.1.15; 2.7.1.229	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; carbohydrate kinase activity [GO:0019200]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]; ribokinase activity [GO:0004747]; cell division [GO:0051301]; DNA damage response [GO:0006974]; DNA replication initiation [GO:0006270]	224308
O05394	reviewed	MCCB_BACSU	mccB yrhB BSU27250	4.4.1.1; 4.4.1.2	cytoplasm [GO:0005737]; cystathionine gamma-lyase activity [GO:0004123]; cystathionine gamma-synthase activity [GO:0003962]; homocysteine desulfhydrase activity [GO:0047982]; L-cysteine desulfhydrase activity [GO:0080146]; L-cystine L-cysteine-lyase (deaminating) [GO:0044540]; pyridoxal phosphate binding [GO:0030170]; cysteine biosynthetic process via cystathionine [GO:0019343]; homocysteine catabolic process [GO:0043418]; positive regulation of cell population proliferation [GO:0008284]; transsulfuration [GO:0019346]	224308
O05512	reviewed	MANB_BACSU	gmuG ydhT BSU05880	3.2.1.78	extracellular region [GO:0005576]; mannan endo-1,4-beta-mannosidase activity [GO:0016985]; polysaccharide catabolic process [GO:0000272]; substituted mannan metabolic process [GO:0006080]	224308
O06724	reviewed	YISK_BACSU	yisK BSU10750	4.1.1.112; 5.3.2.2	cytoplasm [GO:0005737]; acetylpyruvate hydrolase activity [GO:0018773]; metal ion binding [GO:0046872]; oxaloacetate decarboxylase activity [GO:0008948]; oxaloacetate tautomerase activity [GO:0050163]; oxaloacetate metabolic process [GO:0006107]	224308
O06728	reviewed	YISP_BACSU	yisP yucD BSU10810	3.1.7.6	geranylgeranyl-diphosphate geranylgeranyltransferase activity [GO:0016767]; hydrolase activity [GO:0016787]; isoprenoid biosynthetic process [GO:0008299]	224308
O06967	reviewed	BMRA_BACSU	bmrA yvcC BSU34820	7.6.2.-	plasma membrane [GO:0005886]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled lipid transmembrane transporter activity [GO:0034040]; response to antibiotic [GO:0046677]; transmembrane transport [GO:0055085]	224308
O07006	reviewed	PADC_BACSU	padC pad yveH BSU34400	4.1.1.102	carboxy-lyase activity [GO:0016831]; catabolic process [GO:0009056]; response to toxic substance [GO:0009636]	224308
O07012	reviewed	BGAL2_BACSU	ganA galO lacA yvfN BSU34130	3.2.1.23	beta-galactosidase complex [GO:0009341]; beta-galactosidase activity [GO:0004565]; metal ion binding [GO:0046872]; galactose metabolic process [GO:0006012]	224308
O07532	reviewed	LYTF_BACSU	lytF cwlE yhdD BSU09370	3.4.-.-	extracellular region [GO:0005576]; cysteine-type peptidase activity [GO:0008234]; lytic endotransglycosylase activity [GO:0008932]; cell wall organization [GO:0071555]; proteolysis [GO:0006508]	224308
