Entry	Reviewed	Entry Name	Gene Names	EC number	Gene Ontology (GO)	Organism (ID)
G4FEF4	reviewed	AGAL_THEMA	galA TM_1192 Tmari_1199	3.2.1.22	alpha-galactosidase activity [GO:0004557]; carbohydrate binding [GO:0030246]; protein homodimerization activity [GO:0042803]; carbohydrate metabolic process [GO:0005975]; glycoside catabolic process [GO:0016139]	243274
O33830	reviewed	AGLA_THEMA	aglA TM_1834	3.2.1.20	maltose alpha-glucosidase activity [GO:0032450]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]	243274
O33832	reviewed	BSUHB_THEMA	suhB TM_1415	3.1.3.11; 3.1.3.25	fructose 1,6-bisphosphate 1-phosphatase activity [GO:0042132]; inositol monophosphate 1-phosphatase activity [GO:0008934]; inositol monophosphate 3-phosphatase activity [GO:0052832]; inositol monophosphate 4-phosphatase activity [GO:0052833]; metal ion binding [GO:0046872]; inositol metabolic process [GO:0006020]; phosphatidylinositol phosphate biosynthetic process [GO:0046854]; signal transduction [GO:0007165]	243274
O51934	reviewed	RGYR_THEMA	rgy topR TM_0173	5.6.2.-	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; reverse gyrase activity [GO:0160097]; zinc ion binding [GO:0008270]; DNA topological change [GO:0006265]; DNA unwinding involved in DNA replication [GO:0006268]	243274
O52681	reviewed	HYDC_THEMA	hydC TM_1424 Tmari_1430	1.12.1.4	cytoplasm [GO:0005737]; 2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]	243274
P16115	reviewed	LDH_THEMA	ldh TM_1867	1.1.1.27	cytoplasm [GO:0005737]; L-lactate dehydrogenase activity [GO:0004459]; glycolytic process [GO:0006096]; lactate metabolic process [GO:0006089]; pyruvate metabolic process [GO:0006090]	243274
P17721	reviewed	G3P_THEMA	gap TM_0688	1.2.1.12	cytoplasm [GO:0005737]; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; glucose metabolic process [GO:0006006]; glycolytic process [GO:0006096]	243274
P36204	reviewed	PGKT_THEMA	pgk/tpi TM_0689	2.7.2.3; 5.3.1.1	cytosol [GO:0005829]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; phosphoglycerate kinase activity [GO:0004618]; triose-phosphate isomerase activity [GO:0004807]; fatty acid biosynthetic process [GO:0006633]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	243274
P42848	reviewed	ENO_THEMA	eno TM_0877	4.2.1.11	cell surface [GO:0009986]; extracellular region [GO:0005576]; phosphopyruvate hydratase complex [GO:0000015]; magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]; glycolytic process [GO:0006096]	243274
P96112	reviewed	SURE_THEMA	surE TM_1662	3.1.3.5	cytoplasm [GO:0005737]; 3'-nucleotidase activity [GO:0008254]; 5'-nucleotidase activity [GO:0008253]; exopolyphosphatase activity [GO:0004309]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; XMP 5'-nucleosidase activity [GO:0106411]	243274
Q56313	reviewed	RUVB_THEMA	ruvB TM_1730	3.6.4.-	cytoplasm [GO:0005737]; Holliday junction resolvase complex [GO:0048476]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; four-way junction DNA binding [GO:0000400]; four-way junction helicase activity [GO:0009378]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]	243274
Q9S5X0	reviewed	HPPA_THEMA	hppA TM_0174	7.2.3.1	membrane [GO:0016020]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; diphosphate hydrolysis-driven proton transmembrane transporter activity [GO:0009678]; inorganic diphosphate phosphatase activity [GO:0004427]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; protein homodimerization activity [GO:0042803]; sodium ion transmembrane transporter activity [GO:0015081]; sodium ion transmembrane transport [GO:0035725]	243274
Q9WXT2	reviewed	CAH_THEMA	axeA TM_0077	3.1.1.41; 3.1.1.72	cytoplasm [GO:0005737]; acetylxylan esterase activity [GO:0046555]; calcium ion binding [GO:0005509]; carboxylic ester hydrolase activity [GO:0052689]; cephalosporin-C deacetylase activity [GO:0047739]; cellulose catabolic process [GO:0030245]; cephalosporin C metabolic process [GO:1901266]; polysaccharide metabolic process [GO:0005976]; xylan metabolic process [GO:0045491]	243274
Q9WY43	reviewed	DISA_THEMA	disA TM_0200	2.7.7.85	adenylate cyclase activity [GO:0004016]; ATP binding [GO:0005524]; diadenylate cyclase activity [GO:0106408]; DNA binding [GO:0003677]; DNA repair [GO:0006281]	243274
Q9WY52	reviewed	PFKA_THEMA	pfkA TM_0209	2.7.1.11	6-phosphofructokinase complex [GO:0005945]; 6-phosphofructokinase activity [GO:0003872]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; fructose-6-phosphate binding [GO:0070095]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; monosaccharide binding [GO:0048029]; canonical glycolysis [GO:0061621]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]	243274
Q9WY65	reviewed	ECFA2_THEMA	ecfA2 ecfA ecfA' TM_0222	7.-.-.-	ATP-binding cassette (ABC) transporter complex [GO:0043190]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; riboflavin transmembrane transporter activity [GO:0032217]; riboflavin transport [GO:0032218]	243274
Q9WY79	reviewed	MURE_THEMA	murE TM_0237	6.3.2.37; 6.3.2.7	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; tetrahydrofolylpolyglutamate synthase activity [GO:0004326]; UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--D-lysine ligase activity [GO:0102195]; UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-L-lysine ligase activity [GO:0047482]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	243274
Q9WYC5	reviewed	PFP_THEMA	pfp TM_0289 THEMA_03280 Tmari_0287	2.7.1.90	cytoplasm [GO:0005737]; 6-phosphofructokinase activity [GO:0003872]; diphosphate-fructose-6-phosphate 1-phosphotransferase activity [GO:0047334]; metal ion binding [GO:0046872]; phosphofructokinase activity [GO:0008443]; fructose 6-phosphate metabolic process [GO:0006002]; response to glucose [GO:0009749]	243274
