Entry	Reviewed	Entry Name	Gene Names	EC number	Gene Ontology (GO)	Organism (ID)
Q39QF5	reviewed	CH1CO_GEOMG	Gmet_3306	1.3.8.10	acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]	269799
Q39QF7	reviewed	SCHCT_GEOMG	Gmet_3304	2.3.1.315	acetate CoA-transferase activity [GO:0008775]; acetate metabolic process [GO:0006083]	269799
Q39S71	reviewed	RLMN_GEOMG	rlmN Gmet_2685	2.1.1.192	cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; rRNA (adenine(2503)-C2-)-methyltransferase activity [GO:0070040]; rRNA binding [GO:0019843]; tRNA (adenine(37)-C2)-methyltransferase activity [GO:0002935]; tRNA binding [GO:0000049]; rRNA base methylation [GO:0070475]; tRNA methylation [GO:0030488]	269799
Q39S83	unreviewed	Q39S83_GEOMG	coaBC Gmet_2673	4.1.1.36; 6.3.2.5	FMN binding [GO:0010181]; metal ion binding [GO:0046872]; phosphopantothenate--cysteine ligase activity [GO:0004632]; phosphopantothenoylcysteine decarboxylase activity [GO:0004633]; coenzyme A biosynthetic process [GO:0015937]; pantothenate catabolic process [GO:0015941]	269799
Q39TV7	reviewed	BAMA_GEOMG	bamA Gmet_2088	3.7.1.21	cytosol [GO:0005829]; 1,4-dihydroxy-2-naphthoyl-CoA synthase activity [GO:0008935]; 6-hydroxycyclohex-1-ene-1-carboxyl-CoA hydratase activity [GO:0018807]; hydrolase activity, acting on acid carbon-carbon bonds, in ketonic substances [GO:0016823]; benzoyl-CoA catabolic process [GO:1901788]; menaquinone biosynthetic process [GO:0009234]	269799
Q39UG2	unreviewed	Q39UG2_GEOMG	yjeF nnrD nnrE Gmet_1883	4.2.1.136; 5.1.99.6	ADP-dependent NAD(P)H-hydrate dehydratase activity [GO:0052855]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; NADHX epimerase activity [GO:0052856]; NADPHX epimerase activity [GO:0052857]; nicotinamide nucleotide metabolic process [GO:0046496]	269799
Q39UH0	unreviewed	Q39UH0_GEOMG	rdgB Gmet_1875	3.6.1.66	dITP diphosphatase activity [GO:0035870]; ITP diphosphatase activity [GO:0036220]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; ribonucleoside triphosphate phosphatase activity [GO:0017111]; XTP diphosphatase activity [GO:0036222]; nucleotide metabolic process [GO:0009117]; purine nucleoside triphosphate catabolic process [GO:0009146]	269799
Q39UR5	reviewed	PPNP_GEOMG	ppnP Gmet_1778	2.4.2.1; 2.4.2.2	guanosine phosphorylase activity [GO:0047975]; purine-nucleoside phosphorylase activity [GO:0004731]; thymidine phosphorylase activity [GO:0009032]; uridine phosphorylase activity [GO:0004850]	269799
Q39UR9	unreviewed	Q39UR9_GEOMG	carB-1 carB Gmet_1774	6.3.4.16; 6.3.5.5	ATP binding [GO:0005524]; carbamoyl-phosphate synthase (ammonia) activity [GO:0004087]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; metal ion binding [GO:0046872]; 'de novo' UMP biosynthetic process [GO:0044205]; arginine biosynthetic process [GO:0006526]	269799
Q39V67	unreviewed	Q39V67_GEOMG	ribA ribBA Gmet_1626	3.5.4.25; 4.1.99.12	3,4-dihydroxy-2-butanone-4-phosphate synthase activity [GO:0008686]; GTP binding [GO:0005525]; GTP cyclohydrolase II activity [GO:0003935]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; zinc ion binding [GO:0008270]; riboflavin biosynthetic process [GO:0009231]	269799
Q39W62	reviewed	PYRG_GEOMG	pyrG Gmet_1276	6.3.4.2	ATP binding [GO:0005524]; CTP synthase activity [GO:0003883]; glutaminase activity [GO:0004359]; metal ion binding [GO:0046872]; 'de novo' CTP biosynthetic process [GO:0044210]; glutamine metabolic process [GO:0006541]	269799
Q39X60	reviewed	HLDE_GEOMG	hldE Gmet_0922	2.7.1.167; 2.7.7.70	ATP binding [GO:0005524]; heptose 7-phosphate kinase activity [GO:0033785]; heptose-1-phosphate adenylyltransferase activity [GO:0033786]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]; ADP-L-glycero-beta-D-manno-heptose biosynthetic process [GO:0097171]	269799
Q39XX1	unreviewed	Q39XX1_GEOMG	carB-2 carB Gmet_0661	6.3.4.16; 6.3.5.5	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; carbamoyl-phosphate synthase (ammonia) activity [GO:0004087]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; metal ion binding [GO:0046872]; 'de novo' UMP biosynthetic process [GO:0044205]; arginine biosynthetic process [GO:0006526]; glutamine metabolic process [GO:0006541]	269799
Q39Y27	unreviewed	Q39Y27_GEOMG	asd asd-1 Gmet_0604	1.2.1.11	aspartate-semialdehyde dehydrogenase activity [GO:0004073]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; protein dimerization activity [GO:0046983]; 'de novo' L-methionine biosynthetic process [GO:0071266]; diaminopimelate biosynthetic process [GO:0019877]; isoleucine biosynthetic process [GO:0009097]; lysine biosynthetic process via diaminopimelate [GO:0009089]; threonine biosynthetic process [GO:0009088]	269799
Q39Y28	unreviewed	Q39Y28_GEOMG	asd asd-2 Gmet_0603	1.2.1.11	aspartate-semialdehyde dehydrogenase activity [GO:0004073]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; protein dimerization activity [GO:0046983]; 'de novo' L-methionine biosynthetic process [GO:0071266]; diaminopimelate biosynthetic process [GO:0019877]; isoleucine biosynthetic process [GO:0009097]; lysine biosynthetic process via diaminopimelate [GO:0009089]; threonine biosynthetic process [GO:0009088]	269799
