Entry	Reviewed	Entry Name	Gene Names	EC number	Gene Ontology (GO)	Organism (ID)
A0A089QRB9	reviewed	MSL3_MYCTU	msl3 pks3 pks4 Rv1180/Rv1181	2.3.1.252	plasma membrane [GO:0005886]; polyketide synthase complex [GO:0034081]; 3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; oxidoreductase activity [GO:0016491]; phosphopantetheine binding [GO:0031177]; methyl-branched fatty acid biosynthetic process [GO:1902321]	83332
I6WXK4	reviewed	PTPB_MYCTU	ptpB mptpB Rv0153c	3.1.3.-; 3.1.3.16; 3.1.3.48	extracellular region [GO:0005576]; host cell cytoplasm [GO:0030430]; host cell plasma membrane [GO:0020002]; membrane [GO:0016020]; myosin phosphatase activity [GO:0017018]; phosphatase activity [GO:0016791]; phosphatidylinositol-4,5-bisphosphate phosphatase activity [GO:0106019]; phosphatidylinositol-4-phosphate phosphatase activity [GO:0043812]; protein tyrosine phosphatase activity [GO:0004725]; ubiquitin binding [GO:0043130]; symbiont-mediated suppression of host defense-related programmed cell death [GO:0034054]; symbiont-mediated suppression of host inflammatory response [GO:0052036]	83332
I6WZG6	reviewed	ENCAP_MYCTU	enc cfp29 Rv0798c		encapsulin nanocompartment [GO:0140737]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]	83332
I6X235	reviewed	ADPP_MYCTU	Rv1700	3.6.1.13; 3.6.1.58	cytosol [GO:0005829]; 8-oxo-dGDP phosphatase activity [GO:0044715]; 8-oxo-GDP phosphatase activity [GO:0044716]; ADP-ribose diphosphatase activity [GO:0047631]; metal ion binding [GO:0046872]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; nucleoside phosphate metabolic process [GO:0006753]; ribose phosphate metabolic process [GO:0019693]	83332
I6X8D2	reviewed	PKS13_MYCTU	pks13 Rv3800c	2.3.1.-	cytoplasm [GO:0005737]; 3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid synthase activity [GO:0004312]; phosphopantetheine binding [GO:0031177]; DIM/DIP cell wall layer assembly [GO:0071770]; fatty acid biosynthetic process [GO:0006633]	83332
I6XD65	reviewed	PNCA_MYCTU	pncA Rv2043c	3.5.1.-; 3.5.1.19	ferrous iron binding [GO:0008198]; manganese ion binding [GO:0030145]; nicotinamidase activity [GO:0008936]; nicotinamide metabolic process [GO:0006769]; pyridine nucleotide biosynthetic process [GO:0019363]; response to antibiotic [GO:0046677]; xenobiotic metabolic process [GO:0006805]	83332
I6XD69	reviewed	PKS12_MYCTU	pks12 msl6 Rv2048c	2.3.1.295	3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid synthase activity [GO:0004312]; identical protein binding [GO:0042802]; oxidoreductase activity [GO:0016491]; phosphopantetheine binding [GO:0031177]; fatty acid biosynthetic process [GO:0006633]	83332
I6XFS7	reviewed	RDMTR_MYCTU	Rv2966c	2.1.1.-; 2.1.1.171	extracellular region [GO:0005576]; host cell cytoplasm [GO:0030430]; host cell nucleolus [GO:0044196]; methyltransferase activity [GO:0008168]; nucleic acid binding [GO:0003676]; rRNA methylation [GO:0031167]	83332
I6XHI4	reviewed	FADA5_MYCTU	fadA5 Rv3546	2.3.1.16	acetyl-CoA C-acyltransferase activity [GO:0003988]; identical protein binding [GO:0042802]; cholesterol catabolic process [GO:0006707]; fatty acid beta-oxidation [GO:0006635]; phenylacetate catabolic process [GO:0010124]	83332
I6XU97	reviewed	EST45_MYCTU	Rv0045c	3.1.1.1	carboxylesterase activity [GO:0106435]; hydrolase activity [GO:0016787]	83332
I6Y0R5	reviewed	FOLC_MYCTU	folC Rv2447c	6.3.2.12; 6.3.2.17	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; dihydrofolate synthase activity [GO:0008841]; metal ion binding [GO:0046872]; tetrahydrofolylpolyglutamate synthase activity [GO:0004326]; folic acid biosynthetic process [GO:0046656]; folic acid-containing compound biosynthetic process [GO:0009396]; response to antibiotic [GO:0046677]; tetrahydrofolate biosynthetic process [GO:0046654]	83332
I6Y2J4	reviewed	LIPY_MYCTU	lipY PE-PGRS63 Rv3097c	3.1.1.3	cell surface [GO:0009986]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; acetylesterase activity [GO:0008126]; triglyceride lipase activity [GO:0004806]; lipid catabolic process [GO:0016042]	83332
I6Y3Q0	reviewed	CHSE5_MYCTU	fadE27 Rv3505	1.3.99.-	acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]; cholesterol catabolic process [GO:0006707]	83332
I6Y4D2	reviewed	PEPAM_MYCTU	Rv3717	3.5.1.28	outer membrane-bounded periplasmic space [GO:0030288]; metal ion binding [GO:0046872]; N-acetylmuramoyl-L-alanine amidase activity [GO:0008745]; cell wall macromolecule catabolic process [GO:0016998]; cell wall organization [GO:0071555]; peptidoglycan catabolic process [GO:0009253]	83332
I6Y4U9	reviewed	DYP_MYCTU	dyp Rv0799c	1.11.1.7	cytosol [GO:0005829]; encapsulin nanocompartment [GO:0140737]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; peroxidase activity [GO:0004601]	83332
I6Y778	reviewed	FABG4_MYCTU	fabG4 Rv0242c	1.1.1.212	3-oxoacyl-[acyl-carrier-protein] reductase (NADH) activity [GO:0047025]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; fatty acid metabolic process [GO:0006631]	83332
I6Y9J2	reviewed	LDT2_MYCTU	ldtB lppS Rv2518c RVBD_2518c P425_02624	2.3.2.-	plasma membrane [GO:0005886]; acyltransferase activity [GO:0016746]; metal ion binding [GO:0046872]; peptidoglycan L,D-transpeptidase activity [GO:0071972]; cell wall organization [GO:0071555]; peptidoglycan-protein cross-linking [GO:0018104]; regulation of cell shape [GO:0008360]	83332
I6Y9Q3	reviewed	PRPC_MYCTU	prpC Rv1131 RVBD_1131 P425_01180	2.3.3.16; 2.3.3.5	cytoplasm [GO:0005737]; 2-methylcitrate synthase activity [GO:0050440]; citrate (Si)-synthase activity [GO:0004108]; citrate synthase activity [GO:0036440]; carbohydrate metabolic process [GO:0005975]; propionate metabolic process, methylcitrate cycle [GO:0019679]; tricarboxylic acid cycle [GO:0006099]	83332
I6YCA3	reviewed	CHSE4_MYCTU	fadE26 Rv3504	1.3.99.-	flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]; cholesterol catabolic process [GO:0006707]	83332
