Entry	Reviewed	Entry Name	Gene Names	EC number	Gene Ontology (GO)	Organism (ID)
A5A616	reviewed	MGTS_ECOLI	mgtS yneM b4599 JW1527.1		plasma membrane [GO:0005886]; cellular response to magnesium starvation [GO:0010350]; magnesium ion homeostasis [GO:0010960]	83333
B1X6B7	reviewed	HCHA_ECODH	hchA ECDH10B_2110	3.1.2.-; 3.5.1.-; 3.5.1.124	cytoplasm [GO:0005737]; protein deglycase activity [GO:0036524]; thiolester hydrolase activity [GO:0016790]; zinc ion binding [GO:0008270]; DNA repair [GO:0006281]; protein repair [GO:0030091]	316385
C4ZQN7	reviewed	HCHA_ECOBW	hchA BWG_1768	3.1.2.-; 3.5.1.-; 3.5.1.124	cytoplasm [GO:0005737]; protein deglycase activity [GO:0036524]; thiolester hydrolase activity [GO:0016790]; zinc ion binding [GO:0008270]; DNA repair [GO:0006281]; protein repair [GO:0030091]	595496
O32583	reviewed	THIS_ECOLI	thiS thiG1 b4407 JW3955		adenylyltransferase complex [GO:1902503]; sulfurtransferase complex [GO:1990228]; nucleotide binding [GO:0000166]; sulfur carrier activity [GO:0097163]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]; thiazole biosynthetic process [GO:0052837]	83333
P00350	reviewed	6PGD_ECOLI	gnd b2029 JW2011	1.1.1.44	cytosol [GO:0005829]; guanosine tetraphosphate binding [GO:0097216]; identical protein binding [GO:0042802]; NADP binding [GO:0050661]; phosphogluconate dehydrogenase (decarboxylating) activity [GO:0004616]; protein homodimerization activity [GO:0042803]; D-gluconate catabolic process [GO:0046177]; pentose-phosphate shunt [GO:0006098]; pentose-phosphate shunt, oxidative branch [GO:0009051]	83333
P00363	reviewed	FRDA_ECOLI	frdA b4154 JW4115	1.3.5.1	cytosol [GO:0005829]; membrane [GO:0016020]; plasma membrane [GO:0005886]; plasma membrane fumarate reductase complex [GO:0045284]; electron transfer activity [GO:0009055]; FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660]; succinate dehydrogenase (quinone) activity [GO:0008177]; succinate dehydrogenase activity [GO:0000104]; anaerobic electron transport chain [GO:0019645]; anaerobic respiration [GO:0009061]; bacterial-type flagellum assembly [GO:0044780]; DNA damage response [GO:0006974]; fermentation [GO:0006113]	83333
P00370	reviewed	DHE4_ECOLI	gdhA b1761 JW1750	1.4.1.4	cytoplasm [GO:0005737]; cytosol [GO:0005829]; glutamate dehydrogenase complex [GO:1990148]; glutamate dehydrogenase (NADP+) activity [GO:0004354]; guanosine tetraphosphate binding [GO:0097216]; identical protein binding [GO:0042802]; glutamate biosynthetic process [GO:0006537]; glutamate metabolic process [GO:0006536]	83333
P00393	reviewed	NDH_ECOLI	ndh b1109 JW1095	1.16.1.-; 1.6.5.9	NADH dehydrogenase complex [GO:0030964]; plasma membrane [GO:0005886]; flavin adenine dinucleotide binding [GO:0050660]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; NADH:ubiquinone reductase (non-electrogenic) activity [GO:0050136]; aerobic electron transport chain [GO:0019646]; aerobic respiration [GO:0009060]; anaerobic respiration [GO:0009061]; copper ion homeostasis [GO:0055070]; NADH oxidation [GO:0006116]	83333
P00448	reviewed	SODM_ECOLI	sodA b3908 JW3879	1.15.1.1	cytoplasm [GO:0005737]; cytosol [GO:0005829]; antioxidant activity [GO:0016209]; DNA binding [GO:0003677]; manganese ion binding [GO:0030145]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; superoxide dismutase activity [GO:0004784]; cellular response to selenium ion [GO:0071291]; removal of superoxide radicals [GO:0019430]; response to acidic pH [GO:0010447]; response to heat [GO:0009408]; response to oxidative stress [GO:0006979]; superoxide metabolic process [GO:0006801]	83333
P00452	reviewed	RIR1_ECOLI	nrdA dnaF b2234 JW2228	1.17.4.1	cytosol [GO:0005829]; ribonucleoside-diphosphate reductase complex [GO:0005971]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein folding chaperone [GO:0044183]; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor [GO:0004748]; 2'-deoxyribonucleotide biosynthetic process [GO:0009265]; deoxyribonucleotide biosynthetic process [GO:0009263]; nucleobase-containing small molecule interconversion [GO:0015949]; ribonucleoside diphosphate metabolic process [GO:0009185]	83333
P00490	reviewed	PHSM_ECOLI	malP b3417 JW5689	2.4.1.1	cytoplasm [GO:0005737]; cytosol [GO:0005829]; glycogen phosphorylase activity [GO:0008184]; linear malto-oligosaccharide phosphorylase activity [GO:0102250]; maltodextrin phosphorylase activity [GO:0031220]; protein homodimerization activity [GO:0042803]; pyridoxal phosphate binding [GO:0030170]; SHG alpha-glucan phosphorylase activity [GO:0102499]; alpha-glucan catabolic process [GO:0030980]; glycogen catabolic process [GO:0005980]	83333
P00509	reviewed	AAT_ECOLI	aspC b0928 JW0911	2.6.1.1	cytoplasm [GO:0005737]; cytosol [GO:0005829]; identical protein binding [GO:0042802]; L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069]; L-tyrosine:2-oxoglutarate aminotransferase activity [GO:0004838]; protein homodimerization activity [GO:0042803]; pyridoxal phosphate binding [GO:0030170]; L-phenylalanine biosynthetic process [GO:0009094]; L-phenylalanine biosynthetic process from chorismate via phenylpyruvate [GO:0033585]	83333
P00550	reviewed	PTM3C_ECOLI	mtlA b3599 JW3573	2.7.1.197	plasma membrane [GO:0005886]; kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-mannitol phosphotransferase system transmembrane transporter activity [GO:0022872]; protein-phosphocysteine-mannitol phosphotransferase system transporter activity [GO:0090565]; protein-phosphocysteine-sugar phosphotransferase activity [GO:0090563]; mannitol transmembrane transport [GO:0015797]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; sorbitol transmembrane transport [GO:0015795]	83333
