Entry	Reviewed	Entry Name	Gene Names	EC number	Gene Ontology (GO)	Organism (ID)
G0ZKW2	unreviewed	G0ZKW2_ECOLI	lacZ	3.2.1.23	beta-galactosidase complex [GO:0009341]; beta-galactosidase activity [GO:0004565]; carbohydrate binding [GO:0030246]; magnesium ion binding [GO:0000287]; carbohydrate metabolic process [GO:0005975]	511145
A0A223DQU6	unreviewed	A0A223DQU6_ECOLI	traJ		type IV secretion system complex [GO:0043684]; ATP binding [GO:0005524]; secretion by the type IV secretion system [GO:0044097]	511145
A0A223DQU8	unreviewed	A0A223DQU8_ECOLI	ydgA	5.6.2.1	DNA binding [GO:0003677]; DNA topoisomerase type I (single strand cut, ATP-independent) activity [GO:0003917]; DNA topological change [GO:0006265]	511145
A0A223DQX2	unreviewed	A0A223DQX2_ECOLI			DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; DNA recombination [GO:0006310]; transposition [GO:0032196]	511145
A0A223DQY7	unreviewed	A0A223DQY7_ECOLI	aph-III	2.7.1.95	ATP binding [GO:0005524]; kanamycin kinase activity [GO:0008910]; metal ion binding [GO:0046872]; response to antibiotic [GO:0046677]	511145
A0A4D6FVV9	unreviewed	A0A4D6FVV9_ECOLI	kanR	2.7.1.95	ATP binding [GO:0005524]; kanamycin kinase activity [GO:0008910]; metal ion binding [GO:0046872]; response to antibiotic [GO:0046677]	511145
A0A4D6FXD9	unreviewed	A0A4D6FXD9_ECOLI	ampR	3.5.2.6	beta-lactamase activity [GO:0008800]; beta-lactam antibiotic catabolic process [GO:0030655]; response to antibiotic [GO:0046677]	511145
A0A8A4RVT4	unreviewed	A0A8A4RVT4_ECOLI	folP_2 ICJKHHIM_00179	2.5.1.15	dihydropteroate synthase activity [GO:0004156]; metal ion binding [GO:0046872]; folic acid biosynthetic process [GO:0046656]; tetrahydrofolate biosynthetic process [GO:0046654]	511145
A0A8A4RX72	unreviewed	A0A8A4RX72_ECOLI	addA ICJKHHIM_00128	5.6.2.4	3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; hydrolase activity [GO:0016787]; isomerase activity [GO:0016853]; double-strand break repair via homologous recombination [GO:0000724]; replication fork processing [GO:0031297]	511145
A0A8A4RXG2	unreviewed	A0A8A4RXG2_ECOLI	tetA_1 ICJKHHIM_00016		plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]; proton transmembrane transport [GO:1902600]; response to antibiotic [GO:0046677]	511145
A0A8A4RYJ1	unreviewed	A0A8A4RYJ1_ECOLI	dsbC ICJKHHIM_00062		periplasmic space [GO:0042597]	511145
A0A8A4RYS4	unreviewed	A0A8A4RYS4_ECOLI	hupB ICJKHHIM_00162		cytosol [GO:0005829]; DNA binding [GO:0003677]; structural constituent of chromatin [GO:0030527]; chromosome condensation [GO:0030261]	511145
